日期,时间戳,净资产,昨日净资产,当日盈亏,当日收益率,现金总额,购买力,风险等级
2025-10-29,2025-10-29 20:24:02,817822.53,805000.0,12822.530000000028,1.59%,-168604.09,294635.46,1
2025-10-29,2025-10-29 21:34:32,818717.04,805000.0,13717.040000000037,1.70%,818717.04,801874.21,0
2025-10-29,2025-10-29 21:58:25,818332.73,805000.0,13332.729999999981,1.66%,585891.17,708492.94,0
2025-10-29,2025-10-29 22:04:39,818717.04,805000.0,13717.040000000037,1.70%,585891.17,708724.38,0
2025-10-29,2025-10-29 22:07:55,816548.74,805000.0,11548.73999999999,1.43%,196460.2,571006.39,0
2025-10-29,2025-10-29 22:10:08,816378.9,805000.0,11378.900000000023,1.41%,194701.04,550768.54,0
2025-10-29,2025-10-29 22:15:05,815567.5,805000.0,10567.5,1.31%,-583219.71,141479.96,1
2025-10-29,2025-10-29 22:22:14,819893.62,805000.0,14893.619999999995,1.85%,-611821.93,133692.79,1
2025-10-29,2025-10-29 22:27:00,819935.14,805000.0,14935.140000000014,1.86%,429444.34,548537.06,0
2025-10-29,2025-10-29 22:27:13,820274.99,805000.0,15274.98999999999,1.90%,429444.34,548656.01,0
2025-10-29,2025-10-29 22:27:27,819765.21,805000.0,14765.209999999963,1.83%,429444.34,548477.58,0
2025-10-29,2025-10-29 22:32:06,818454.39,805000.0,13454.390000000014,1.67%,-348433.64,236830.13,1
2025-10-29,2025-10-29 23:11:48,811092.78,805000.0,6092.780000000028,0.76%,-571612.47,161221.79,1
2025-10-29,2025-10-29 23:16:06,809508.54,805000.0,4508.540000000037,0.56%,-185201.1,295994.58,1
2025-10-29,2025-10-29 23:24:48,810953.14,805000.0,5953.140000000014,0.74%,-573308.2,141594.35,1
2025-10-29,2025-10-29 23:26:16,810858.85,805000.0,5858.849999999977,0.73%,-184530.63,297015.52,1
2025-10-29,2025-10-29 23:31:05,811086.01,805000.0,6086.010000000009,0.76%,-573513.06,141597.81,1
2025-10-29,2025-10-29 23:55:53,808917.87,805000.0,3917.8699999999953,0.49%,-184530.48,296053.77,1
